frame_id,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
142,0,"tensor([106.7723, 124.5677])","tensor([117.5779, 113.8927])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,"tensor([102.2246, 130.8243])","tensor([112.3226, 120.1849])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0,"tensor([ 99.4088, 133.5702])","tensor([109.6586, 122.7827])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0,"tensor([ 94.8547, 142.1606])","tensor([103.6114, 131.8147])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0,"tensor([ 92.3476, 149.3501])","tensor([100.4244, 139.3950])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0,"tensor([ 88.6566, 157.5423])","tensor([ 97.0446, 147.9674])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0,"tensor([ 84.8676, 166.7300])","tensor([ 90.8081, 157.5321])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,"tensor([ 81.6575, 178.7892])","tensor([ 86.4869, 169.9540])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0,"tensor([ 70.9268, 194.2705])","tensor([ 76.8555, 183.4174])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0,"tensor([ 70.7092, 205.4841])","tensor([ 74.7312, 194.4636])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0,"tensor([ 63.5411, 218.7939])","tensor([ 66.4292, 207.6199])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,"tensor([ 59.7442, 232.4400])","tensor([ 61.6249, 220.1140])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,"tensor([ 55.4700, 244.7959])","tensor([ 57.1431, 232.6941])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0,"tensor([ 49.5545, 257.1970])","tensor([ 52.9515, 246.2976])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0,"tensor([ 46.7240, 270.7526])","tensor([ 49.4439, 260.1210])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0,"tensor([ 48.4742, 278.3547])","tensor([ 50.1091, 266.8961])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,"tensor([ 44.1925, 290.7292])","tensor([ 46.5412, 279.7334])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0,"tensor([ 45.8417, 299.8524])","tensor([ 47.6495, 287.5125])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0,"tensor([ 47.2841, 309.5652])","tensor([ 48.9368, 297.4127])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0,"tensor([ 44.7799, 319.6694])","tensor([ 47.2502, 308.1728])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,"tensor([ 47.6475, 327.7368])","tensor([ 47.7600, 315.9723])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0,"tensor([ 50.1963, 335.8637])","tensor([ 48.3176, 324.0896])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,"tensor([ 47.2681, 343.7375])","tensor([ 49.0233, 332.7133])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0,"tensor([ 49.5955, 350.7585])","tensor([ 47.2808, 339.6287])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,"tensor([ 44.6970, 358.0650])","tensor([ 45.8873, 347.2192])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0,"tensor([ 46.7168, 356.0683])","tensor([ 44.1748, 345.8058])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0,"tensor([ 43.1479, 359.1403])","tensor([ 44.1451, 348.1196])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0,"tensor([ 44.4765, 351.0019])","tensor([ 42.6986, 340.2805])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0,"tensor([ 44.1963, 347.7117])","tensor([ 41.8684, 336.6703])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0,"tensor([ 36.0979, 344.2649])","tensor([ 37.4535, 333.0544])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
